item_id,current_on_hand,safety_stock,reorder_point,last_updated
8209,0,500,500,03/01/2026 00:00:00
8210,0,500,500,03/01/2026 00:00:00
8211,0,500,500,03/01/2026 00:00:00
8212,0,500,500,03/01/2026 00:00:00
8213,4175,500,508,03/01/2026 00:00:00
8214,0,500,500,03/01/2026 00:00:00
8215,0,500,500,03/01/2026 00:00:00
8216,0,500,500,03/01/2026 00:00:00
8232,24263,1000,1024,03/01/2026 00:00:00
8233,17292,1000,1017,03/01/2026 00:00:00
8234,12736,1000,1013,03/01/2026 00:00:00
8254,8,1000,1000,03/01/2026 00:00:00
8260,0,1000,1000,03/01/2026 00:00:00
8261,0,1000,1000,03/01/2026 00:00:00
8262,0,500,500,03/01/2026 00:00:00
8263,0,1000,1000,03/01/2026 00:00:00
8264,0,1000,1000,03/01/2026 00:00:00
8265,0,1000,1000,03/01/2026 00:00:00
8266,0,1000,1000,03/01/2026 00:00:00
8267,0,1000,1000,03/01/2026 00:00:00
8268,300,1000,1000,03/01/2026 00:00:00
8269,300,1000,1000,03/01/2026 00:00:00
8270,300,1000,1000,03/01/2026 00:00:00
8271,0,1000,1000,03/01/2026 00:00:00
8283,200,250,251,03/01/2026 00:00:00
